"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","ANALOG","DMR","DSTAR","FUSION",
GB3HY,70CM,RU72,430.900000,438.500000,88.5,IO90WX,HAYWARDS HEATH,Y,,,,
GB3IC,70CM,RB05,433.125000,434.725000,67,IO82WO,WOLVERHAMPTON,Y,,,,
GB3IE,70CM,RU68,430.850000,438.450000,77,IO70XJ,PLYMOUTH,,,Y,,
GB3IG,2M,RV62,145.775000,145.175000,88.5,IO68QE,STORNOWAY,Y,,,,
GB3IH,70CM,RB04,433.100000,434.700000,110.9,JO02OB,IPSWICH,Y,,,,
GB3IK,2M,RV61,145.762500,145.162500,103.5,JO01FJ,ROCHESTER,Y,,,,
GB3IM-C,70CM,RU66,430.825000,438.425000,110.9,IO74SD,DOUGLAS  IOM,Y,,,,
GB3IM-P,70CM,RU70,430.875000,438.475000,110.9,IO74PF,PEEL,Y,,,,
GB3IM-R,70CM,RU66,430.825000,438.425000,71.9,IO74TI,RAMSEY  IOM,Y,,,,
GB3IM-S,70CM,RB05,433.125000,434.725000,110.9,IO74SG,DOUGLAS  IOM,Y,,,,
GB3IN,2M,RV51,145.637500,145.037500,71.9,IO93GD,ALFRETON,Y,Y,Y,Y,
GB3IP,70CM,RU78,430.975000,438.575000,82.5,IO91WF,SOUTH NUTFIELD,Y,,,,
GB3IR,2M,RV61,145.762500,145.162500,88.5,IO94DJ,RICHMOND YORKS,Y,,,,
GB3IS,70CM,RU71,430.887500,438.487500,94.8,IO67HC,ISLE OF SOUTH UIST,Y,Y,Y,Y,
GB3IW,70CM,RB09,433.225000,434.825000,71.9,IO90JO,VENTNOR,Y,,,,
