"repeater","band","channel","TX","RX","mode","QTHR","where","region","code","keeper","status",
GB3IN,2M,RV51,145.637500,145.037500,MULTI,IO93GD,ALFRETON,MIDL,71.9,G4TSN,OPERATIONAL,
GB3IP,70CM,RU78,430.975000,438.575000,AV,IO91WF,SOUTH NUTFIELD,SE,82.5,M0ZAH,OPERATIONAL,
GB3IR,2M,RV61,145.762500,145.162500,AV,IO94DJ,RICHMOND YORKS,NOR,88.5,G4FZN,OPERATIONAL,
GB3IS,70CM,RU71,430.887500,438.487500,MULTI,IO67HC,ISLE OF SOUTH UIST,SCOT,94.8,GM8SAU,OPERATIONAL,
GB3IW,70CM,RB09,433.225000,434.825000,AV,IO90JO,VENTNOR,SW,71.9,G4IKI,OPERATIONAL,
GB3JB,2M,RV63,145.787500,145.187500,MULTI,IO81VC,MERE WILTSHIRE,SW,5,G3ZXX,OPERATIONAL,
GB3JL,2M,RV63,145.787500,145.187500,AV,IO70SM,LISKEARD,SW,77,G4RKY,OPERATIONAL,
GB3JM,70CM,RU70,430.875000,438.475000,AV,IO82PG,LEOMINISTER,WM,118.8,M0WYP,OPERATIONAL,
GB3JR,70CM,RU78,430.975000,438.575000,AV,IO93HB,MANSFIELD,MIDL,71.9,M5ADU,OPERATIONAL,
GB3JS,70CM,RB01,433.025000,434.625000,AV,JO02UO,GREAT YARMOUTH,SE,94.8,M0JGX,OPERATIONAL,
GB3KA,70CM,RU71,430.887500,438.487500,AV,IO82UJ,KIDDERMINSTER,WM,118.8,G7SAI,OPERATIONAL,
GB3KC,70CM,RU72,430.900000,438.500000,AV,IO82WK,STOURBRIDGE,MIDL,67,G0EWH,OPERATIONAL,
GB3KE,2M,RV55,145.687500,145.087500,MULTI,IO75UV,GLASGOW,SCOT,103.5,GM7SVK,OPERATIONAL,
GB3KI,2M,RV53,145.662500,145.062500,MULTI,JO01NI,HERNE BAY,SE,103.5,G4TKR,OPERATIONAL,
GB3KK,70CM,RU78,430.975000,438.575000,AV,IO65VE,BALLYCASTLE,NI,110.9,MI0CRQ,OPERATIONAL,
GB3KL,70CM,RB04,433.100000,434.700000,MULTI,JO02FR,KINGS LYNN,SE,94.8,G0IJU,OPERATIONAL,
GB3KN,2M,RV56,145.700000,145.100000,AV,JO01HH,MAIDSTONE,SE,103.5,G3VFC,OPERATIONAL,
GB3KR,70CM,RU65,430.812500,438.412500,AV,IO82UI,STOURPORT ON SEVERN,WM,118.8,G7SAI,OPERATIONAL,
GB3KS,2M,RV50,145.625000,145.025000,MULTI,JO01PA,DOVER,SE,103.5,M1CMN,OPERATIONAL,
GB3KU,70CM,RB03,433.075000,434.675000,MULTI,IO83XM,ASHTON-UNDER-LYNE,NOR,82.5,M0NCZ,OPERATIONAL,
GB3KV,70CM,RU78,430.975000,438.575000,AV,IO75XX,KILSYTH,SCOT,103.5,GM3SAN,OPERATIONAL,
GB3KW,70CM,RU66,430.825000,438.425000,MULTI,IO75UV,GLASGOW,SCOT,103.5,GM7SVK,OPERATIONAL,
GB3KY,2M,RV57,145.712500,145.112500,AV,JO02FS,KINGS LYNN,SE,94.8,G1SCQ,OPERATIONAL,
GB3LA,2M,RV57,145.712500,145.112500,AV,IO85CJ,SANQUHAR,SCOT,103.5,GM3SAN,OPERATIONAL,
GB3LB,2M,RV63,145.787500,145.187500,AV,IO85NS,LAUDER,SCOT,118.8,GM7LUN,OPERATIONAL,
GB3LC,70CM,RU75,430.937500,438.537500,AV,IO93WH,LOUTH,MIDL,71.9,G7AJP,OPERATIONAL,
GB3LD,2M,RV54,145.675000,145.075000,AV,IO84OA,LANCASTER,NOR,110.9,G3VVT,OPERATIONAL,
GB3LE,70CM,RB04,433.100000,434.700000,MULTI,IO92IQ,MARKFIELD,MIDL,77,M1NAS,OPERATIONAL,
GB3LF,70CM,RB14,433.350000,434.950000,AV,IO84PH,KENDAL,NOR,110.9,G3VVT,OPERATIONAL,
GB3LG,6M,R50-12,50.830000,51.330000,AV,IO82KW,LLANGOLLEN,WM,,GW0NIS,NOT OPERATIONAL,
GB3LH,70CM,RB15,433.375000,434.975000,MULTI,IO82OP,SHREWSBURY,WM,103.5,G8DIR,OPERATIONAL,
GB3LI,70CM,RB10,433.250000,434.850000,AV,IO83LL,LIVERPOOL,NOR,82.5,G3WIC,OPERATIONAL,
GB3LL,70CM,RB0,433.000000,434.600000,AV,IO82KW,LLANGOLLEN,WM,94.8,G7RPG,OPERATIONAL,
GB3LM,2M,RV58,145.725000,145.125000,MULTI,IO93RF,LINCOLN,MIDL,71.9,M0TEF,OPERATIONAL,
GB3LN,70CM,RU74,430.925000,438.525000,AV, IO92JO,LEICESTER,MIDL,118.8,M0HEL,OPERATIONAL,
GB3LP,6M,R50-04,50.750000,51.250000,AV,IO83MK,LIVERPOOL,NOR,77,M1SWB,OPERATIONAL,
GB3LR,70CM,RU69,430.862500,438.462500,AV,JO00AS,NEWHAVEN,SE,88.5,G0TJH,OPERATIONAL,
GB3LS,70CM,RB02,433.050000,434.650000,AV,IO93RF,LINCOLN,MIDL,71.9,M0TEF,OPERATIONAL,
GB3LT,70CM,RB10,433.250000,434.850000,MULTI,IO91SV,LUTON,MIDL,77.0,G6OUA,OPERATIONAL,
